query,hint,latency_seconds,error
29b.sql,hint5,9.476875,
29b.sql,hint6,0.144404,
29b.sql,hint7,0.01015,
29b.sql,hint8,8.936110000000001,
29b.sql,hint9,4.245705,
29b.sql,hint10,1.1418309999999998,
29b.sql,hint11,0.089054,
29b.sql,hint12,,
29b.sql,hint13,1.552656,
29b.sql,hint14,,
29b.sql,hint15,8.69284,
29b.sql,hint16,14.864106,
29b.sql,hint17,17.75135,
29b.sql,hint18,0.223209,
29b.sql,hint19,0.012531,
29b.sql,hint20,,
29b.sql,hint21,,
29b.sql,hint22,0.009972,
29b.sql,hint23,9.189013,
29b.sql,hint24,0.01045,
29b.sql,hint25,,
29b.sql,hint26,0.010423,
29b.sql,hint27,8.795836,
29b.sql,hint28,18.270786,
29b.sql,hint29,0.097308,
29b.sql,hint30,0.0122829999999999,
29b.sql,hint31,,
29b.sql,hint32,,
29b.sql,hint33,0.009837,
29b.sql,hint34,,
29b.sql,hint35,,
29b.sql,hint36,0.039138,
29b.sql,hint37,,
29b.sql,hint38,2.9328339999999997,
29b.sql,hint39,0.0309359999999999,
29b.sql,hint40,18.114694,
29b.sql,hint41,0.107101,
29b.sql,hint42,0.011848,
29b.sql,hint43,,
29b.sql,hint44,,
29b.sql,hint45,0.0228979999999999,
29b.sql,hint46,0.012168,
29b.sql,hint47,11.702147,
29b.sql,hint48,0.010768,
25a.sql, ,,
25a.sql,hint1,38.762979,
25a.sql,hint2,,
25a.sql,hint3,,
25a.sql,hint4,28.23207,
25a.sql,hint5,7.843943,
25a.sql,hint6,21.447768,
25a.sql,hint7,,
25a.sql,hint8,7.728515000000001,
25a.sql,hint9,,
25a.sql,hint10,27.235103,
25a.sql,hint11,34.450632,
25a.sql,hint12,,
25a.sql,hint13,28.881729,
25a.sql,hint14,,
25a.sql,hint15,7.845957,
25a.sql,hint16,17.105303,
25a.sql,hint17,14.216575,
25a.sql,hint18,,
25a.sql,hint19,24.118629,
25a.sql,hint20,,
25a.sql,hint21,23.225533,
25a.sql,hint22,17.439027,
25a.sql,hint23,7.494703,
25a.sql,hint24,37.346855000000005,
25a.sql,hint25,7.732919,
25a.sql,hint26,37.096433,
25a.sql,hint27,7.957207,
25a.sql,hint28,14.354857,
25a.sql,hint29,31.999547,
25a.sql,hint30,25.343236,
25a.sql,hint31,13.203082,
25a.sql,hint32,41.849243,
25a.sql,hint33,41.168421,
25a.sql,hint34,,
25a.sql,hint35,47.429983,
25a.sql,hint36,46.545697,
25a.sql,hint37,9.68367,
25a.sql,hint38,35.770504,
25a.sql,hint39,41.391003,
25a.sql,hint40,13.0874,
25a.sql,hint41,36.690011,
25a.sql,hint42,37.14526,
25a.sql,hint43,16.366745,
25a.sql,hint44,41.121995000000005,
25a.sql,hint45,,
25a.sql,hint46,,
25a.sql,hint47,9.602645,
25a.sql,hint48,45.515406000000006,
33a.sql, ,0.067923,
33a.sql,hint1,0.213945,
33a.sql,hint2,,
33a.sql,hint3,,
33a.sql,hint4,0.022433,
33a.sql,hint5,0.634299,
33a.sql,hint6,0.02092,
33a.sql,hint7,0.015746,
33a.sql,hint8,1.184698,
33a.sql,hint9,,
33a.sql,hint10,0.027141,
33a.sql,hint11,0.26568,
33a.sql,hint12,1.126953,
33a.sql,hint13,0.022469,
33a.sql,hint14,,
33a.sql,hint15,1.989641,
33a.sql,hint16,2.510435,
33a.sql,hint17,1.762668,
33a.sql,hint18,0.022382,
33a.sql,hint19,0.023083,
33a.sql,hint20,0.627808,
33a.sql,hint21,,
33a.sql,hint22,0.015909,
33a.sql,hint23,1.170662,
33a.sql,hint24,,
33a.sql,hint25,,
33a.sql,hint26,0.258432,
33a.sql,hint27,,
33a.sql,hint28,,
33a.sql,hint29,,
33a.sql,hint30,,
33a.sql,hint31,,
33a.sql,hint32,0.021011,
33a.sql,hint33,0.010006,
33a.sql,hint34,0.093578,
33a.sql,hint35,0.0371989999999999,
33a.sql,hint36,0.277066,
33a.sql,hint37,5.603568,
33a.sql,hint38,,
33a.sql,hint39,,
33a.sql,hint40,,
33a.sql,hint41,0.021617,
33a.sql,hint42,0.0185369999999999,
33a.sql,hint43,1.638161,
33a.sql,hint44,0.015768,
33a.sql,hint45,0.010076,
33a.sql,hint46,0.278234,
33a.sql,hint47,5.543399,
33a.sql,hint48,0.018743,
3b.sql, ,0.717112,
3b.sql,hint1,2.0489029999999997,
3b.sql,hint2,7.250192,
3b.sql,hint3,,
3b.sql,hint4,,
