filename,latency_s,error
e10a.sql,30.182293,
e10b.sql,35.753620000000005,
e11a.sql,40.807584999999996,
e11b.sql,30.026349,
e12a.sql,85.815472,
e12b.sql,13.265666999999999,
e1a.sql,6.6978919999999995,
e1b.sql,3.317148,
e2a.sql,5.3519939999999995,
e2b.sql,111.81165,
e3a.sql,5.182516,
e3b.sql,17.619668,
e4a.sql,2.8045259999999996,
e4b.sql,16.771256,
e5a.sql,1.042265,
e5b.sql,2.353201,
e6a.sql,2.417377,
e6b.sql,1.5267249999999999,
e7a.sql,53.545663999999995,
e7b.sql,0.151111,
e8a.sql,4.721786,
e8b.sql,31.208139,
e9a.sql,18.528035,
e9b.sql,231.925818,
